         17817 function calls (17496 primitive calls) in 506.042 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       66    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:167(read)
        2    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/collections/__init__.py:328(namedtuple)
      549    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/sre_parse.py:255(get)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      237    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     31/4    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/sre_compile.py:87(_compile)
       16    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/posixpath.py:71(join)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
        1    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/numbers.py:1(<module>)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:391(cached)
       63    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/enum.py:89(__setitem__)
      611    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/sre_parse.py:234(__next)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
        3    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/re.py:197(search)
        2    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/SDCardQuickView.py:412(<listcomp>)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
     1423    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        9    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/_collections_abc.py:821(get)
       10    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/Image.py:3904(__getitem__)
       44    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:205(crc)
      370    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      368    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       11    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:966(load_end)
       70    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/posixpath.py:117(splitext)
      237    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        8    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:560(__getitem__)
        2    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/SDCardQuickView.py:99(set_properties)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
